ArtikelId;Länge;Typ;Dateiname
10001;24936;"image/jpeg";"~\Content\Images\Articles\10001\A03.jpg"
10006;21589;"image/jpeg";"~\Content\Images\Articles\10006\A04.jpg"
10007;25541;"image/jpeg";"~\Content\Images\Articles\10007\T01.jpg"
10007;10324;"image/jpeg";"~\Content\Images\Articles\10007\GPS01.jpg"
10007;14592;"image/jpeg";"~\Content\Images\Articles\10007\GPS02.jpg"
10007;15078;"image/jpeg";"~\Content\Images\Articles\10007\GPS03.jpg"
10008;25516;"image/jpeg";"~\Content\Images\Articles\10008\K02.jpg"
10008;84211;"image/jpeg";"~\Content\Images\Articles\10008\IMG_3169.JPG"
10008;57633;"image/jpeg";"~\Content\Images\Articles\10008\PICT5416.JPG"
10009;27634;"image/jpeg";"~\Content\Images\Articles\10009\T02.jpg"
10010;22012;"image/jpeg";"~\Content\Images\Articles\10010\E01.jpg"
10011;23940;"image/jpeg";"~\Content\Images\Articles\10011\B02.jpg"
10011;22939;"image/jpeg";"~\Content\Images\Articles\10011\IMG_9056.jpg"
10011;23093;"image/jpeg";"~\Content\Images\Articles\10011\IMG_9059.jpg"
10011;69945;"image/jpeg";"~\Content\Images\Articles\10011\DSC05027.JPG"
10012;20813;"image/jpeg";"~\Content\Images\Articles\10012\B03.jpg"
10013;20910;"image/jpeg";"~\Content\Images\Articles\10013\B01.jpg"
10014;24814;"image/jpeg";"~\Content\Images\Articles\10014\K01.jpg"
10014;37225;"image/jpeg";"~\Content\Images\Articles\10014\multifunction_MX710_MX711.jpg"
10014;12084;"image/jpeg";"~\Content\Images\Articles\10014\benq_mx711_3d_ready_9_large.jpg"
10014;22742;"image/jpeg";"~\Content\Images\Articles\10014\benqmx711-2.jpg"
10015;27122;"image/jpeg";"~\Content\Images\Articles\10015\A14.jpg"
10016;25199;"image/jpeg";"~\Content\Images\Articles\10016\A15.jpg"
10017;31175;"image/jpeg";"~\Content\Images\Articles\10017\W02.jpg"
10018;26653;"image/jpeg";"~\Content\Images\Articles\10018\W03.jpg"
10019;33979;"image/jpeg";"~\Content\Images\Articles\10019\W01.jpg"
10020;27505;"image/jpeg";"~\Content\Images\Articles\10020\A21.jpg"
10020;22844;"image/jpeg";"~\Content\Images\Articles\10020\2parachute.jpg"
10021;33119;"image/jpeg";"~\Content\Images\Articles\10021\A01.jpg"
10022;22524;"image/jpeg";"~\Content\Images\Articles\10022\A02.jpg"
10023;16325;"image/jpeg";"~\Content\Images\Articles\10023\A06.jpg"
10024;18043;"image/jpeg";"~\Content\Images\Articles\10024\A05.jpg"
10025;15525;"image/jpeg";"~\Content\Images\Articles\10025\A08.jpg"
10002;19793;"image/jpeg";"~\Content\Images\Articles\10002\A20.jpg"
10026;23409;"image/jpeg";"~\Content\Images\Articles\10026\E02.jpg"
10026;62860;"image/jpeg";"~\Content\Images\Articles\10026\mohrenkopfschleuder.JPG"
10027;22741;"image/jpeg";"~\Content\Images\Articles\10027\E04.jpg"
10027;47448;"image/jpeg";"~\Content\Images\Articles\10027\dsc_3777.jpg"
10027;40449;"image/jpeg";"~\Content\Images\Articles\10027\Stroboskop-Schlauch-a21072200.jpg"
10003;23177;"image/jpeg";"~\Content\Images\Articles\10003\A12.jpg"
10004;119796;"image/jpeg'";"~\Content\Images\Articles\10004\A11.jpg"
